date,close,color,ema5,ema10,ema15,ema20,bbu,bbm,bbl,mom5,mom10,macd,macdsignal,macdhist,rsi
4/22/2019,1277.6,1,1280.865179,1286.749056,1290.167027,1292.601439,1293.162386,1281.593877,1270.025368,-17.6,-18,-5.963569687,-1.927403489,-4.036166198,40.4511137
4/23/2019,1273.2,0,1278.310119,1284.285591,1288.046148,1290.753683,1281.265811,1278.12231,1274.978809,-18.1,-28.7,-6.768303776,-2.895583546,-3.87272023,38.14181592
4/24/2019,1279.4,0,1278.673413,1283.397302,1286.96538,1289.67238,1280.190498,1276.111282,1272.032066,2.2,-28.9,-6.827074886,-3.681881814,-3.145193072,43.07342043
4/25/2019,1279.7,0,1279.015608,1282.725065,1286.057207,1288.722629,1280.192548,1275.401891,1270.611233,2.9,-34.2,-6.77138758,-4.299782967,-2.471604613,43.30893616
4/26/2019,1288.8,1,1282.277072,1283.829599,1286.400056,1288.729998,1286.790823,1276.610371,1266.429919,12.8,-4.5,-5.924665188,-4.624759411,-1.299905777,50.05843885
4/29/2019,1284.5,0,1283.018048,1283.95149,1286.162549,1288.327141,1288.994761,1278.48351,1267.972259,6.9,-10.7,-5.53678109,-4.807163747,-0.729617343,47.19887026
4/30/2019,1288.6,1,1284.878699,1284.796674,1286.467231,1288.353127,1289.018895,1280.826215,1272.633535,15.4,-2.7,-4.842720545,-4.814275107,-0.028445438,50.12444402
5/1/2019,1287.2,1,1285.652466,1285.233642,1286.558827,1288.243306,1289.817278,1283.023634,1276.22999,7.8,10,-4.355434129,-4.722506911,0.367072782,49.12355373
5/2/2019,1275,0,1282.101644,1283.37298,1285.113974,1286.982039,1293.663357,1283.374411,1273.085466,-4.7,-1.8,-4.897241818,-4.757453893,-0.139787926,41.37093055
5/3/2019,1284.3,0,1282.834429,1283.541529,1285.012227,1286.726606,1292.850797,1283.355198,1273.859599,-4.5,8.3,-4.524045657,-4.710772245,0.186726589,48.09559908
5/6/2019,1286.9,0,1284.18962,1284.15216,1285.248198,1286.74312,1293.502623,1283.700583,1273.898542,2.4,9.3,-3.972692019,-4.5631562,0.590464181,49.82817727
5/7/2019,1288.6,1,1285.659746,1284.960858,1285.667174,1286.919966,1294.365399,1284.563358,1274.761318,0,15.4,-3.359834416,-4.322491843,0.962657427,50.98035397
5/8/2019,1284.4,0,1285.239831,1284.858884,1285.508777,1286.679969,1294.591105,1285.180813,1275.770521,-2.8,5,-3.176429349,-4.093279344,0.916849995,48.04479629
5/9/2019,1288.2,0,1286.226554,1285.46636,1285.84518,1286.824734,1289.540087,1285.884078,1282.228069,13.2,8.5,-2.693403392,-3.813304154,1.119900762,50.8049193
5/10/2019,1290.2,0,1287.551036,1286.327022,1286.389532,1287.146188,1290.739189,1286.857746,1282.976303,5.9,1.4,-2.124726037,-3.475588531,1.350862493,52.24294937
5/13/2019,1304.7,1,1293.267357,1289.667563,1288.678341,1288.817979,1303.622692,1289.615608,1275.608524,17.8,20.2,-0.498272542,-2.880125333,2.381852791,61.11711382
